"Taxon sort","UltrataxonID","Taxon Level","SpNo","TaxonID","Taxon name","Taxon scientific name","Family common name","Family scientific name","Order","Population","Australian conservation status","Taxonomic notes","v2 change","v2 change notes"
1,,"sp",928,928,"Ostrich","Struthio camelus","Ostriches","Struthionidae","Struthioniformes","Introduced","Introduced",,,
2,"u","ssp",928,"u928","Eastern Ostrich","Struthio camelus massaicus","Ostriches","Struthionidae","Struthioniformes","Introduced","Introduced","Subspecies from Del Hoyo et al. (1992)",,
3,,"sp",2,2,"Southern Cassowary","Casuarius casuarius","Emus and Cassowaries","Casuariidae","Struthioniformes","Australian","Vulnerable",,"Order",
4,"u","ssp",2,"u2","Australian Southern Cassowary","Casuarius casuarius johnsonii","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Vulnerable","Subspecies from Marchant and Higgins (1990). Not recognised by Dickinson et al. (2013) or del Hoyo et al. (2014)","Order",
5,,"sp",1,1,"Emu","Dromaius novaehollandiae","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Least concern",,"Order",
6,"u","ssp",1,"u1a","Tasmanian Emu","Dromaius novaehollandiae diemenensis","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct","Subspecies from Marchant and Higgins (1990)","Order",
7,"u","ssp",1,"u1b","Mainland Emu","Dromaius novaehollandiae novaehollandiae","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1990)","Order",
8,"u","sp",740,"u740","King Island Emu","Dromaius ater","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct",,"Order",
9,"u","sp",741,"u741","Kangaroo Island Emu","Dromaius baudinianus","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct",,"Order",
10,"u","sp",199,"u199","Magpie Goose","Anseranas semipalmata","Magpie Goose","Anseranatidae","Anseriformes","Australian","Least concern",,,
11,"u","sp",745,"u745","Spotted Whistling-Duck","Dendrocygna guttata","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
12,"u","sp",205,"u205","Plumed Whistling-Duck","Dendrocygna eytoni","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
13,,"sp",204,204,"Wandering Whistling-Duck","Dendrocygna arcuata","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
14,"u","ssp",204,"u204","Torresian Wandering Whistling-Duck","Dendrocygna arcuata australis","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Subspecies from Del Hoyo et al. (1992)",,
15,"u","sp",216,"u216","Blue-billed Duck","Oxyura australis","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Near threatened",,,
16,"u","sp",213,"u213","Pink-eared Duck","Malacorhynchus membranaceus","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
17,,"sp",198,198,"Cape Barren Goose","Cereopsis novaehollandiae","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
18,"u","ssp",198,"u198b","Eastern Cape Barren Goose","Cereopsis novaehollandiae novaehollandiae","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern","Treated as a separate subspecies from grisea conta Marchant and Higgins (1990)",,
19,"u","ssp",198,"u198a","Recherche Cape Barren Goose","Cereopsis novaehollandiae grisea","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Vulnerable","Subspecies from Storr (1980), contra Marchant and Higgins (1990) which treated the species as monotypic",,
20,"u","sp",203,"u203","Black Swan","Cygnus atratus","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
21,"u","sp",906,"u906","Mute Swan","Cygnus olor","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced",,,
22,,"sp",799,799,"Canada Goose","Branta canadensis","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced",,,
23,"u","ssp",799,"u799","Eastern Canada Goose","Branta canadensis moffitti","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced","Subspecies from Ornithological Society of New Zealand (2010)","Genus, Subspecies scientific name","Subspecies classification changed based on Ornithological Society of New Zealand (2010)"
24,,"sp",206,206,"Radjah Shelduck","Radjah radjah","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,"Genus",
25,"u","ssp",206,"u206","Torresian Radjah Shelduck","Radjah radjah rufitergum","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
26,"u","sp",207,"u207","Australian Shelduck","Tadorna tadornoides","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
